"EFORSCDCID","FoodCategoryName","ContaminatedIngredient"
1095,"chicken, unspecified",
1096,"bread, cornbread dressing",
1096,"crawfish/crayfish, unspecified",
1096,"eggplant dressing",
1097,"beets, unspecified",
1097,"pudding, bread",
1098,"unspecified fish",
1100,"unspecified beverage",
1101,"ham, unspecified",
1101,"roast beef, unspecified",
1102,"turkey, unspecified","Turkey"
1106,"sandwich, other vegetable",
1108,"chicken, unspecified",
1111,"green beans, unspecified","Vine-stalk  eg. tomato"
1112,"pasta, unspecified",
1116,"ham, unspecified","Pork"
1119,"pudding, tapioca",
1123,"chicken, fried",
1124,"fish, wahoo",
1130,"taco, beef",
1131,"fried rice, unspecified",
1132,"seafood-based salad unspecified",
1133,"sausage, mixed meats",
1134,"sandwich, turkey",
1135,"corn, unspecified",
1135,"pork, other",
1135,"soup, pork-based",
1136,"honeydew melon",
1136,"strawberries",
1137,"steak, prime rib",
1138,"crab, steamed",
1138,"shrimp, unspecified",
1140,"ice",
1141,"corned beef, hash",
1142,"taco, unspecified",
1143,"deli meat, unspecified",
1144,"ground beef, hamburger",
1145,"cantaloupe",
1145,"honeydew melon",
1145,"watermelon",
1147,"ground beef, meatloaf",
1148,"steak, beef tips",
1149,"beef, chili",
1149,"ham, unspecified",
1149,"turkey, smoked",
1151,"sandwich, submarine",
1152,"musubi (rice in seaweed)",
1153,"poi, unspecified",
1156,"tuna, unspecified",
1161,"oysters, raw",
1180,"turkey, unspecified",
1185,"burrito, unspecified",
1187,"burrito, unspecified",
1188,"chicken, unspecified","Chicken"
1191,"burrito, unspecified",
1192,"pork, BBQ",
1194,"salad, unspecified",
1197,"salad, unspecified",
1199,"burrito, chicken","Chicken"
1199,"chicken, nuggets/fingers","Chicken"
1199,"taco, chicken","Chicken"
1202,"ground beef, unspecified",
1202,"ice",
1202,"salsa, unspecified",
1203,"pork, BBQ","Pork"
1204,"pork, BBQ",
1205,"lettuce, unspecified","Leafy (eg. lettuce)"
1207,"pork, BBQ",
1209,"chicken pot pie",
1209,"lettuce-based salads unspecified",
1211,"bread, unspecified",
1211,"hot dog, unspecified",
1211,"tomato sauce, unspecified",
1212,"spaghetti, unspecified",
1215,"stuffing/gravy",
1218,"tortilla, unspecified",
1223,"ham, unspecified",
1225,"fish, grouper, unspecified",
1229,"hot dog, unspecified",
1232,"shrimp, unspecified",
1237,"pizza, unspecified",
1239,"macaroni salad",
1240,"roast beef, unspecified",
1242,"multiple foods",
1243,"bread, unspecified",
1244,"multiple foods",
1245,"deviled eggs","Eggs"
1245,"roast beef, unspecified","Beef"
1246,"orange juice, unpasteurized",
1248,"beef, stew",
1248,"plantains, unspecified",
1248,"rice, white",
1252,"fajita, beef",
1256,"salmon, unspecified",
1259,"leaf lettuce, unspecified",
1260,"mamey shake",
1262,"condiment, unspecified",
1265,"chips and salsa",
1267,"gravy, unspecified",
1272,"pizza, unspecified",
1278,"multiple foods",
1283,"chicken, unspecified","Chicken"
1309,"ground beef, hamburger",
1309,"stew/chili, other",
1347,"lettuce-based salads unspecified",
1347,"stir-fry, unspecified",
1349,"lettuce-based salads unspecified",
1351,"coleslaw",
1355,"blackberries",
1355,"raspberries",
1355,"strawberries",
1357,"orange juice, unspecified",
1357,"whole milk, unspecified",
1359,"cheese dip",
1359,"cheese sauce",
1359,"taco dip",
1361,"ice",
1384,"burrito, bean",
1384,"burrito, beef",
1387,"shrimp, unspecified",
1387,"steak, unspecified",
1388,"cake, unspecified",
1388,"pizza, unspecified",
1388,"rolls",
1401,"lasagna, unspecified",
1415,"deli meat, unspecified",
1415,"lettuce, unspecified",
1417,"pork, roasted","Pork"
1441,"mousse",
1441,"pie, unspecified",
1446,"chicken, unspecified",
1446,"rice, unspecified",
1447,"sandwich, other specialty",
1453,"deli meat, pastrami",
1453,"deli meat, sliced roast beef",
1453,"sandwich, corned beef",
1458,"green salad",
1460,"shrimp, unspecified",
1469,"shrimp, unspecified",
1472,"ham, unspecified",
1472,"turkey, unspecified",
1474,"green salad",
1485,"pasta salad",
1485,"spinach salad",
1488,"salami, unspecified",
1495,"hot dog, unspecified",
1497,"chicken, buffalo wings",
1500,"caesar salad",
1500,"stir-fry, unspecified",
1501,"burrito, unspecified",
1516,"chicken salad",
1519,"pizza, meat",
1522,"chicken, other",
1523,"chicken, marsala",
1523,"pasta, unspecified",
1528,"condiment, unspecified",
1528,"ground beef, hamburger",
1535,"deli meat, multiple",
1537,"chicken, nuggets/fingers",
1541,"multiple foods",
1552,"burrito, bean",
1552,"burrito, beef",
1562,"steak, prime rib",
1569,"salad bar",
1583,"chicken, fried",
1583,"fried rice, unspecified",
1591,"pizza, meat",
1597,"deviled eggs",
1597,"salad, unspecified",
1601,"multiple foods",
1610,"salad, unspecified",
1610,"sandwich, unspecified",
1621,"ice",
1624,"ice",
1635,"rice, unspecified",
1637,"rice, unspecified",
1638,"cream sauce, unspecified",
1649,"turkey, unspecified",
1654,"potato, scalloped",
1655,"deli meat, multiple",
1655,"pre-packaged salad",
1657,"coleslaw",
1661,"cake, unspecified",
1662,"potato, fried","Root (eg. potato)"
1663,"shrimp scampi",
1666,"blue cheese dressing",
1672,"caesar salad",
1673,"fish, amberjack",
1673,"fish, mackeral",
1679,"meat, unspecified",
1680,"shell eggs, scrambled hard",
1681,"deli meat, unspecified",
1685,"mousse",
1685,"salad dressing, unspecified",
1689,"roast beef, unspecified",
1693,"crab, unspecified",
1697,"ground beef, unspecified",
1698,"chicken, unspecified",
1698,"ice",
1698,"mixed vegetables, unspecified",
1701,"burrito, unspecified",
1703,"fish, escolar",
1706,"lettuce, unspecified",
1706,"tomato, unspecified",
1707,"nachos, unspecified",
1710,"fish, mahi mahi",
1711,"pasta, unspecified",
1712,"peppers, green",
1713,"salad, unspecified",
1714,"pasta, unspecified",
1714,"sandwich, unspecified",
1714,"unspecified fruit",
1717,"crab, unspecified",
1717,"fish, halibut",
1717,"hollandaise sauce",
1718,"beans, baked",
1720,"peppers, chili",
1721,"salsa, unspecified",
1721,"tomatilla",
1722,"burrito, bean",
1724,"other food *****",
1726,"deli meat, unspecified",
1726,"other cheese, unspecified",
1727,"beef, BBQ",
1729,"salad, unspecified",
1732,"onion dip",
1733,"peppers, chili",
1733,"refried beans, unspecified",
1734,"cream cheese",
1740,"clover sprouts",
1744,"pizza, meat",
1748,"fish, white","Fin fish"
1749,"chicken, other","Chicken"
1750,"oysters, unspecified",
1750,"seabass, unspecified",
1755,"mung bean sprouts",
1757,"eggs, unspecified","Eggs"
1764,"eggs, unspecified",
1766,"crab cakes",
1767,"shrimp dishes unspecified",
1772,"chile relleno, unspecified",
1772,"eggs, other",
1772,"pasta salad",
1774,"burrito, beef",
1776,"chicken, unspecified",
1779,"alfalfa sprouts",
1780,"lettuce, unspecified",
1782,"sandwich, unspecified",
1784,"beans, unspecified",
1785,"chicken, unspecified",
1787,"ice",
1787,"turkey, unspecified",
1788,"chicken, other",
1788,"fettucine alfredo",
1789,"chicken salad",
1794,"bagels",
1794,"tuna salad",
1795,"eggs, unspecified",
1795,"lasagna, beef",
1797,"black bean sauce",
1797,"shrimp, unspecified",
1799,"beef/steak dish, other",
1799,"lamb, unspecified",
1802,"beans, unspecified",
