"RootID","FoodName","ContaminatedIngredient"
3310,"chicken dishes",
3310,"fruit",
3310,"Vegetables",
3384,"Fettuccine Alfredo with Chicken and Broccoli",
3623,"black beans",
3623,"rice, spanish",
3781,"deli meat, multiple",
3782,"dips, unspecified",
3782,"pasta salad",
3821,"ice",
3821,"powdered mix, unspecified",
3821,"water",
3875,"pasta, unspecified",
3915,"beef",
4078,"potato, mashed",
4078,"turkey",
4345,"milk, 1% milk pasteurized",
4345,"salad dressings",
4345,"Vegetables",
4401,"chicken salad",
5910,"chicken, fried",
5910,"potato, unspecified",
6385,"chicken, marsala",
6385,"pork, other",
6585,"guacamole",
6585,"rice",
6585,"salsa",
22,"cookies",
23,"salad, unspecified",
27,"lettuce, unspecified",
43,"rice, white","rice"
51,"cake, chocolate",
77,"milk, whole milk unpasteurized",
79,"cake",
80,"oysters, raw","oysters"
81,"multiple foods","lemon"
81,"multiple foods","lime"
107,"burrito, chicken",
108,"lettuce","lettuce"
113,"oysters, raw",
115,"ground beef, other","beef"
125,"macaroni salad",
127,"cookies, unspecified",
179,"spaghetti, unspecified",
191,"fruit",
203,"beef, brisket",
344,"cake, tiramisu",
349,"chicken, other",
353,"sandwich, unspecified",
425,"ice",
439,"lamb, chops",
447,"cake",
1865,"fish, ahi","fish, ahi"
1868,"chicken tenders",
1876,"chicken",
1893,"lettuce based salads",
1899,"macaroni and cheese",
1909,"deviled eggs",
1933,"vinagarette-based dressing",
1991,"chicken, chimichanga","chicken"
2016,"chicken, strips",
2023,"cookies, unspecified",
2038,"potato salad",
2051,"roast beef",
2055,"salad, unspecified",
2070,"macaroni and cheese",
2071,"orange juice, pasteurized",
2087,"roast beef, unspecified",
2121,"cake, brownie",
2212,"sandwich, deli",
2254,"onion, unspecified",
2275,"queso fresco, unpasteurized","milk"
2282,"deli meat, sliced turkey",
