"RootID","OtherCounties"
4477,"Conejos"
4477,"Costilla"
4477,"Denver"
4477,"Douglas"
4477,"El Paso"
4477,"Jefferson"
4477,"Las Animas"
4477,"Otero"
4477,"Weld"
4732,"Mercer"
4954,"Alameda"
4954,"Contra Costa"
4954,"Fresno"
4954,"Marin"
4954,"Plumas"
4954,"San Diego"
4954,"San Francisco"
4954,"Santa Cruz"
5087,"Los Angeles"
5087,"Napa"
5087,"Orange"
5087,"Sacramento"
5087,"San Diego"
5087,"San Luis Obispo"
5217,"Orange"
5910,"Warren"
5912,"Atlantic"
6385,"Mercer"
6385,"Middlesex"
6385,"Morris"
6385,"Union"
6942,"Middlesex"
7222,"Los Angeles"
7222,"Riverside"
8094,"Marin"
8094,"Santa Clara"
