Geographic Area,"April 1, 2000",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,"April 1, 2010","July 1, 2010"
San Juan,435072,434488,432191,429574,426736,423669,420025,415200,409906,404405,399153,395326,395074
San Lorenzo,40988,41043,41230,41392,41526,41630,41663,41596,41444,41301,41150,41058,41010
San Sebastián,44166,44165,44176,44138,44095,44015,43882,43619,43270,42969,42651,42430,42400
Santa Isabel,21665,21726,22000,22231,22460,22680,22862,22966,23032,23121,23209,23274,23238
Toa Alta,64339,64652,65948,67171,68349,69514,70576,71414,72096,72792,73522,74066,73954
Toa Baja,93570,93574,93626,93547,93415,93234,92909,92327,91552,90820,90123,89609,89513
Trujillo Alto,75774,75845,76090,76268,76364,76478,76449,76202,75822,75443,75097,74842,74754
Utuado,35344,35331,35258,35175,35051,34909,34703,34418,34071,33714,33381,33149,33123
Vega Alta,37915,38005,38363,38703,39030,39327,39578,39686,39753,39803,39884,39951,39908
Vega Baja,61916,61930,61988,61981,61928,61861,61696,61330,60864,60412,59979,59662,59597
Vieques,9106,9119,9176,9227,9270,9317,9338,9331,9318,9307,9305,9301,9303
Villalba,27910,27900,27837,27772,27671,27566,27373,27132,26843,26543,26276,26073,26031
Yabucoa,39121,39135,39188,39228,39219,39194,39108,38909,38633,38374,38124,37941,37896
Yauco,46398,46330,46091,45829,45522,45184,44775,44242,43640,43047,42477,42043,42006
