"EFORSCDCID","OtherCounties"
10972,"Woodford"
10972,"St. Clair"
10972,"Sangamon"
10972,"Fayette"
10972,"Crawford"
10972,"Clay"
10972,"Bond"
10972,"Bureau"
10976,"Clackamas"
10976,"Hood River"
10978,"Kent"
10979,"Bond"
10979,"Coles"
11001,"Allen"
11001,"Defiance"
11001,"Lucas"
11001,"Ottawa"
11001,"Wood"
11001,"Wyandot"
11003,"Medina"
11003,"Portage"
11003,"Stark"
11004,"Lucas"
11007,"Frederick"
11011,"Portage"
11031,"Cherokee"
11031,"Douglas"
11031,"Montgomery"
11031,"Wilson"
11032,"Allegheny"
11032,"Lawrence"
11041,"Montgomery"
11045,"Clarke"
11045,"Polk"
11045,"Union"
11069,"Ontario"
11069,"Seneca"
11069,"Steuben"
11069,"Washington"
11069,"Wayne"
11074,"Nobles"
11074,"St. Louis"
11082,"Sussex"
11101,"Barton"
11101,"McPherson"
11101,"Stafford"
11120,"Albany"
11120,"Dutchess"
11120,"Ulster"
11120,"Westchester"
11133,"Fulton"
11133,"Cobb"
11139,"McCormick"
11139,"Laurens"
11139,"Abbeville"
11195,"New York"
11195,"Suffolk"
11228,"Jefferson"
11232,"Jefferson"
11233,"Douglas"
11235,"Douglas"
11258,"Livingston"
11258,"Steuben"
11264,"Alpena"
11264,"Grand Traverse"
11264,"Kalkaska"
11264,"Macomb"
11264,"Oakland"
11268,"Maui"
11272,"Fairfield"
11280,"Hancock"
11280,"Henry"
11299,"Middlesex"
11299,"Norfolk"
11299,"Plymouth"
11299,"Suffolk"
11337,"Cook"
11337,"DuPage"
11356,"Kent"
11356,"Macomb"
11356,"Oakland"
11378,"Carroll"
11389,"Ada"
11394,"San Bernardino"
11394,"Ventura"
11413,"Fairfax"
11413,"Prince William"
11421,"Stutsman"
11421,"Ward"
11421,"Williams"
11421,"Walsh"
11421,"Grand Forks"
11421,"Cass"
11421,"Bottineau"
11421,"Burke"
11421,"Oliver"
11426,"Buncombe"
11427,"Henderson"
11434,"Sacramento"
11434,"Sonoma"
11435,"Contra Costa"
11435,"Sonoma"
11435,"Sacramento"
11435,"Alameda"
11435,"San Francisco"
11460,"Cuyahoga"
11487,"Weld"
11490,"Fairfield"
11490,"New Haven"
11498,"Greenville"
11501,"Faulkner"
11501,"Saline"
11501,"Jefferson"
11501,"Lonoke"
11522,"Hartford"
11526,"DuPage"
11526,"Kane"
11540,"Niagara"
11540,"Erie"
11542,"Suffolk"
11542,"Saratoga"
11542,"Rockland"
11542,"Otsego"
11542,"Dutchess"
11542,"Nassau"
11546,"Geauga"
11560,"Placer"
11560,"Yuba"
11560,"Solano"
11560,"Nevada"
11560,"El Dorado"
11560,"Amador"
11560,"Yolo"
11612,"Franklin"
11615,"El Paso"
11615,"Denver"
11618,"Carroll"
11631,"Ingham"
11631,"Kalamazoo"
11631,"Otsego"
11631,"Saginaw"
11631,"Grand Traverse"
11647,"Cheatham"
11657,"Douglas"
11657,"Jefferson"
11657,"Johnson"
11657,"Osage"
11662,"Daniels"
11662,"Richland"
11662,"Yellowstone"
11664,"Northampton"
11666,"Durham"
11684,"Ashland"
11684,"Crawford"
11684,"Delaware"
11684,"Franklin"
11684,"Morrow"
11698,"New Haven"
11721,"Fort Bend"
11724,"Fort Bend"
11736,"Merrimack"
11738,"Cayuga"
11738,"Seneca"
11742,"Mifflin"
11745,"Pueblo"
11746,"Harnett"
11746,"Lee"
11746,"Robeson"
11772,"Indiana"
11777,"Imperial"
11777,"Orange"
11777,"Riverside"
11786,"Lewis"
11786,"Oneida"
11789,"San Diego"
11789,"Los Angeles"
11789,"Orange"
11789,"San Bernardino"
11803,"Garfield"
11803,"Grant"
11803,"Kay"
11803,"Oklahoma"
11803,"Payne"
11811,"Cook"
11820,"Harford"
11820,"Prince George's"
11820,"Montgomery"
11820,"Howard"
11820,"Carroll"
11820,"Caroline"
11820,"Baltimore"
11820,"Anne Arundel"
11820,"Cecil"
11827,"Darke"
11839,"Cecil"
11855,"Laramie"
11855,"Weston"
11855,"Washakie"
11855,"Uinta"
11855,"Teton"
11855,"Sweetwater"
11855,"Sublette"
11855,"Park"
11855,"Converse"
11855,"Carbon"
11855,"Campbell"
11855,"Big Horn"
11855,"Albany"
11855,"Platte"
11866,"Washington"
11884,"Cumberland"
11904,"Kennebec"
11904,"Waldo"
11904,"Franklin"
11904,"Somerset"
11904,"Sagadahoc"
11907,"Fairfield"
11907,"Litchfield"
11907,"New Haven"
11907,"New London"
11928,"Penobscot"
11941,"San Diego"
11941,"Nevada"
11941,"Riverside"
11941,"San Bernardino"
11946,"Hillsborough"
11946,"Merrimack"
11951,"Catawba"
11951,"Lincoln"
11951,"Mecklenburg"
11988,"Rutherford"
12001,"Orange"
12007,"Lexington"
12023,"Tulare"
12026,"Ozaukee"
12026,"Pierce"
12026,"Polk"
12026,"Price"
12026,"Vilas"
12026,"Bayfield"
12030,"Orange"
12030,"Riverside"
12030,"San Diego"
12052,"Clarion"
12052,"Venango"
12052,"Mercer"
12052,"McKean"
12052,"Elk"
12052,"Jefferson"
12068,"Marin"
12068,"Orange"
12068,"Los Angeles"
12068,"Alameda"
12068,"Ventura"
12070,"Los Angeles"
12070,"San Bernardino"
12088,"Brown"
12089,"Sheboygan"
12096,"Boone"
12099,"Lake"
12142,"Bucks"
12142,"Philadelphia"
12172,"Ramsey"
12172,"Scott"
12172,"Dakota"
12177,"Allegany"
12194,"Griggs"
12230,"Portage"
12230,"Summit"
12232,"Bedford"
12232,"Delaware"
12232,"Huntingdon"
12232,"Montgomery"
12237,"Palm Beach"
12273,"Amherst"
