"EFORSCDCID","OtherStates"
8508,"North Carolina"
8631,"Alaska"
8631,"Arizona"
8631,"Oregon"
11342,"Arizona"
11342,"Colorado"
11342,"Connecticut"
11342,"Illinois"
11342,"Indiana"
11342,"Kansas"
11342,"Maine"
11342,"Massachusetts"
11342,"Michigan"
11342,"Minnesota"
11342,"Missouri"
11342,"New Hampshire"
11342,"New Jersey"
11342,"New York"
11342,"North Carolina"
11342,"Ohio"
11342,"Oklahoma"
11342,"Pennsylvania"
11342,"South Carolina"
11342,"South Dakota"
11342,"Virginia"
11342,"West Virginia"
11342,"Wisconsin"
11343,"California"
11343,"Florida"
11343,"Illinois"
11343,"Massachusetts"
11343,"Michigan"
11343,"Minnesota"
11343,"Ohio"
11343,"Oregon"
11343,"Pennsylvania"
11343,"Virginia"
11343,"Washington"
11344,"California"
11344,"Colorado"
11344,"Connecticut"
11344,"Illinois"
11344,"Indiana"
11344,"Kentucky"
11344,"Maine"
11344,"Michigan"
11344,"Minnesota"
11344,"New York"
11344,"North Carolina"
11344,"Ohio"
11344,"Oklahoma"
11344,"Oregon"
11344,"Rhode Island"
11344,"Tennessee"
11344,"Utah"
11344,"Washington"
11345,"Illinois"
11345,"Maryland"
11345,"Massachusetts"
11345,"Missouri"
11345,"New Hampshire"
11345,"New Jersey"
11345,"New York"
11345,"North Carolina"
11345,"Ohio"
11345,"Pennsylvania"
11345,"Tennessee"
11345,"Vermont"
11345,"Virginia"
11345,"Wisconsin"
11364,"Minnesota"
11364,"Oregon"
11364,"Wisconsin"
11365,"Connecticut"
11365,"Florida"
11365,"Massachusetts"
11365,"New Jersey"
11365,"Rhode Island"
11366,"Oregon"
11366,"Washington"
11367,"California"
11367,"Colorado"
11367,"Illinois"
11367,"Iowa"
11367,"Maryland"
11367,"Minnesota"
11367,"North Dakota"
11367,"Oklahoma"
11367,"Pennsylvania"
11367,"Tennessee"
11369,"Alabama"
11369,"Florida"
11369,"South Carolina"
11369,"Tennessee"
11370,"Arizona"
11370,"California"
11370,"Connecticut"
11370,"Missouri"
11370,"Nebraska"
11370,"New York"
11370,"North Carolina"
11370,"Ohio"
11370,"Texas"
11371,"Oregon"
11371,"Washington"
11376,"Indiana"
11376,"Michigan"
11376,"Missouri"
11376,"Ohio"
11377,"Illinois"
11377,"Michigan"
11671,"South Dakota"
11671,"Wisconsin"
11671,"Illinois"
11671,"Minnesota"
11672,"Oregon"
11672,"Pennsylvania"
11676,"California"
11676,"Washington"
11961,"Colorado"
11961,"Minnesota"
12124,"Florida"
12124,"New York"
12124,"Virginia"
12424,"New York"
12424,"Oregon"
12424,"Washington"
12777,"Colorado"
12777,"Connecticut"
12777,"Delaware"
12777,"Georgia"
12777,"Illinois"
12777,"Kentucky"
12777,"Maine"
12777,"Maryland"
12777,"Massachusetts"
12777,"Michigan"
12777,"New Jersey"
12777,"New York"
12777,"North Carolina"
12777,"Ohio"
12777,"Pennsylvania"
12777,"Rhode Island"
12777,"Tennessee"
12777,"Virginia"
12777,"Washington"
12793,"Arizona"
12793,"California"
12793,"Colorado"
12793,"Connecticut"
12793,"Idaho"
12793,"Illinois"
12793,"Indiana"
12793,"Kentucky"
12793,"Maine"
12793,"Maryland"
12793,"Michigan"
12793,"Minnesota"
12793,"Nebraska"
12793,"Nevada"
12793,"New Mexico"
12793,"New York"
12793,"Ohio"
12793,"Oregon"
12793,"Pennsylvania"
12793,"Tennessee"
12793,"Utah"
12793,"Virginia"
12793,"Washington"
12793,"West Virginia"
12793,"Wisconsin"
12793,"Wyoming"
12796,"Delaware"
12796,"New Jersey"
12796,"New York"
12796,"Pennsylvania"
